"PID","Relationship_Type","Relationship","Emotion","Exp_Type","Frequency","Hyp_Recall","Connection","DrawClose","Affirming","Willing","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Income","Education","Race","Race_9_TEXT","Community_1_x","Community_1_y","Community"
3,"Transactional","SS","Joy","Expression",3,"Hyp",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Love","Experience",0,"Recall",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Love","Experience",0,"Hyp",0,0,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Love","Expression",0,"Recall",NA,NA,NA,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Love","Expression",0,"Hyp",0,0,0,0,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Sadness","Experience",2,"Recall",-1,0,-1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Sadness","Experience",2,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Sadness","Expression",1,"Recall",-1,0,-1,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
3,"Transactional","SS","Sadness","Expression",1,"Hyp",NA,NA,NA,1,4,23,2,NA,5,3,"4,7",NA,159,100,"Other"
4,"Communal","CF","Hurt","Experience",1,"Recall",1,1,1,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Hurt","Experience",1,"Hyp",NA,NA,NA,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Hurt","Expression",1,"Recall",1,1,1,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Hurt","Expression",1,"Hyp",NA,NA,NA,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Joy","Experience",2,"Recall",1,1,1,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Joy","Experience",2,"Hyp",NA,NA,NA,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Joy","Expression",2,"Recall",1,1,1,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Joy","Expression",2,"Hyp",NA,NA,NA,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Love","Experience",2,"Recall",1,1,1,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Love","Experience",2,"Hyp",NA,NA,NA,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Love","Expression",2,"Recall",1,1,1,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
4,"Communal","CF","Love","Expression",2,"Hyp",NA,NA,NA,1,4,50,1,NA,6,3,"3",NA,170,224,"Region #4"
