"PID","Relationship_Type","Relationship","Orientation","Emotion","Valence","Type","Frequency","Connection","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Relationship_Status","Income","Education","Race","Race_9_TEXT","Ladder_Community_1_x","Ladder_Community_1_y","Ladder_Community"
6,"Communal","Romantic Partner","Disengaging","Pride","Positive","Expression",4,1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Communal","Romantic Partner","Engaging","Guilt","Negative","Experience",1,0,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Communal","Romantic Partner","Engaging","Guilt","Negative","Expression",1,0,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Communal","Romantic Partner","Engaging","Respect","Positive","Experience",2,1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Communal","Romantic Partner","Engaging","Respect","Positive","Expression",2,1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Experience",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Disengaging","Anger","Negative","Expression",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Experience",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Disengaging","Pride","Positive","Expression",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Experience",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Engaging","Guilt","Negative","Expression",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Experience",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Classmate/Colleague","Engaging","Respect","Positive","Expression",2,-1,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Disengaging","Anger","Negative","Experience",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Disengaging","Anger","Negative","Expression",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Disengaging","Pride","Positive","Experience",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Disengaging","Pride","Positive","Expression",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Engaging","Guilt","Negative","Experience",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Engaging","Guilt","Negative","Expression",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Engaging","Respect","Positive","Experience",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
6,"Transactional","Stranger","Engaging","Respect","Positive","Expression",0,NA,4,23,1,NA,2,7,6,"7",NA,193,162,"Region #6"
7,"Communal","Close Friend","Disengaging","Anger","Negative","Experience",0,NA,4,29,1,NA,4,6,5,"7",NA,185,152,"Region #6"
7,"Communal","Close Friend","Disengaging","Anger","Negative","Expression",0,NA,4,29,1,NA,4,6,5,"7",NA,185,152,"Region #6"
